id	flux
R00396    	10000
R03869    	0
R00782    	0
R02742    	0
R02340    	2.131895e-04
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	1.248458e-07
R05814    	1.248458e-07
R00375    	0
R05811    	1.248458e-07
R05810    	1.248458e-07
R05813    	1.248458e-07
R05812    	1.248458e-07
R00751    	6.311880e-03
R02372    	0
R05617    	6.802471e-08
R01899    	0
R05612    	6.802471e-08
R05613    	6.802471e-08
R00369    	0
R05611    	6.802471e-08
R00362    	-6.444268e-03
R02765    	-1.499280e-02
R00762    	2.663528e-03
R05809    	1.248458e-07
R05808    	1.248458e-07
R00768    	2.308468e-05
R05807    	1.248458e-07
R00771    	-2.640443e-03
R00354    	0
R00355    	-9.999981e+03
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	0
R01878    	0
R03084    	2.132575e-04
R00086    	1.375459e+00
R00084    	3.406201e-07
R01870    	-8.747856e-04
R01665    	0
R01664    	0
R01867    	8.747856e-04
R01863    	-1.234869e-28
R02100    	0
R02331    	3.798488e-24
R02332    	0
R02719    	0
R01655    	2.351745e-03
R01658    	3.473002e-04
R01857    	0
R01858    	0
R02328    	0
R01859    	1.499280e-02
R02327    	0
R02329    	0
R00999    	0
R02519    	2.647632e-03
R02326    	0
R02325    	0
R00996    	0
R10005    	4.145314e-27
R10004    	0
R10003    	6.802471e-08
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	2.647632e-03
R02313    	2.115280e-03
R04509    	0
R00303    	2.587348e-03
R03045    	0
R03038    	0
R00586    	1.337607e-04
R03243    	5.510682e-04
R00585    	0
R03245    	1.389473e-03
R01168    	0
R06447    	0
R00582    	0
R03035    	5.020904e-07
R03027    	-2.115280e-03
R00578    	4.118896e-04
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	0
R03067    	0
R00570    	0
R00571    	5.948544e-04
R00573    	0
R01698    	3.006194e-02
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	4.148539e-27
R04799    	0
R06613    	9.646585e-06
R02568    	0
R03815    	0
R00552    	0
R02571    	-2.115280e-03
R01196    	5.293367e-02
R01197    	-1.316475e-01
R01199    	2.561453e-03
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	2.518275e-07
R00351    	1.161625e-01
R00548    	0
R03823    	0
R03269    	5.020904e-07
R00332    	5.953559e-04
R03425    	0
R00342    	1.519206e-01
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	5.510682e-04
R03458    	3.766732e-07
R03459    	3.766732e-07
R03660    	0
R03659    	0
R03658    	0
R00529    	1.337607e-04
R03460    	2.132575e-04
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	1.451888e-03
R03018    	5.020904e-07
R03013    	5.510682e-04
R03012    	5.510682e-04
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	1.736161e-04
R03857    	0
R00512    	0
R03005    	5.634485e-07
R00513    	0
R04463    	9.006945e-04
R04859    	1.337607e-04
R03346    	0
R03348    	5.634485e-07
R04457    	7.533465e-07
R00908    	-1.632931e-24
R00502    	0
R01220    	2.351745e-03
R01221    	-4.530455e-03
R00509    	1.337607e-04
R01214    	9.507503e-04
R01230    	5.952310e-04
R01231    	0
R01229    	0
R01228    	0
R01227    	0
R01226    	5.020904e-07
R00104    	2.657043e-07
R03102    	2.115280e-03
R01446    	0
R90000    	4.034206e-01
R01253    	-3.359305e-03
R90003    	1.326353e+00
R90004    	1.871426e-01
R90001    	7.672559e-01
R90002    	3.836279e-01
R90005    	0
R04224    	9.502482e-04
R04225    	1.148110e-02
R04233    	0
R04231    	0
R03314    	-3.359305e-03
R04230    	5.020904e-07
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	-1.260656e-26
R01465    	1.248458e-07
R90029    	0
R90027    	0
R90028    	0
R90025    	0
R90026    	0
R90023    	0
R90024    	0
R04095    	1.551531e-02
R04203    	1.148110e-02
R04097    	1.551531e-02
R01286    	0
R90010    	0
R01288    	0
R01287    	0
R90011    	0
R90016    	0
R90017    	0
R90018    	0
R01280    	0
R90019    	0
R04204    	1.148110e-02
R90012    	0
R90013    	0
R90014    	0
R04209    	-9.006945e-04
R04208    	9.006945e-04
R90015    	0
R04212    	0
R01279    	0
R02022    	-2.049925e-05
R00158    	8.747856e-04
R02023    	0
R00156    	9.182336e-04
R02024    	0
R02971    	0
R00985    	2.131895e-04
R02020    	-2.049925e-05
R02021    	1.337607e-04
R00986    	0
R01015    	3.050965e-03
R90046    	2.486130e-03
R00705    	0
R90045    	1.655555e-02
R90048    	1.984658e-03
R00704    	0
R00703    	0
R90047    	7.232244e-03
R90049    	3.478131e-03
R00708    	0
R05595    	0
R00707    	0
R00161    	2.518275e-07
R02019    	0
R90040    	2.591861e-03
R00160    	0
R90042    	0
R00702    	0
R02016    	3.278131e-04
R90041    	2.023428e-03
R02018    	9.646585e-06
R90044    	8.581052e-03
R02017    	0
R90043    	1.204543e-02
R00970    	0
R90037    	0
R90036    	9.538931e-03
R90035    	2.334419e-02
R01010    	1.736161e-04
R90039    	5.954474e-27
R90038    	4.910801e-27
R90033    	2.770019e-03
R90032    	1.281322e-03
R00177    	1.498340e-06
R90031    	0
R90030    	0
R00965    	8.747856e-04
R00966    	0
R00963    	0
R00964    	0
R00962    	0
R05180    	0
R05181    	0
R00969    	0
R01036    	0
R01039    	-1.000000e+04
R00967    	0
R00968    	0
R90068    	0
R90067    	0
R05578    	2.724961e-06
R05577    	0
R90069    	8.754781e-04
R90064    	1.736161e-04
R00188    	1.337607e-04
R90063    	-3.050811e-02
R90066    	2.071192e-02
R90065    	0
R90060    	1.766926e-01
R00183    	0
R90062    	0
R90061    	0
R05177    	0
R01818    	0
R00189    	5.634485e-07
R02058    	2.308468e-05
R00959    	-5.309465e-05
R01034    	10000
R00190    	1.255803e-28
R90059    	1.248458e-07
R90058    	0
R90057    	7.458041e-07
R90056    	1.294442e-06
R90055    	1.845466e-04
R90054    	1.820874e-03
R00199    	0
R90053    	0
R90052    	1.457345e-24
R90050    	2.157744e-07
R00192    	1.498340e-06
ER00023   	1.281322e-03
R04030    	6.802471e-08
ER00024   	-2.661011e-01
R02061    	3.473002e-04
ER00025   	-9.998852e+03
R00945    	-2.168129e-03
ER00020   	0
ER00021   	1.204543e-02
ER00022   	2.157744e-07
R04037    	5.510682e-04
R04035    	5.510682e-04
ER00027   	-3.686543e-01
R02063    	0
R02257    	0
ER00028   	3.892940e-01
R00943    	1.130020e-06
R02065    	4.143602e-27
R04031    	-6.802471e-08
R90091    	0
R90081    	0
R90082    	0
R00742    	0
R90083    	0
R90084    	0
R90085    	0
R00121    	-6.688035e-05
R90086    	0
R90087    	0
R90088    	0
R90089    	0
R05553    	0
R05555    	0
ER00014   	0
R00935    	9.502482e-04
ER00015   	4.271857e-03
ER00012   	0
R05150    	0
ER00013   	9.538931e-03
ER00010   	3.478131e-03
R00939    	1.294442e-06
ER00011   	8.581052e-03
R00124    	-10000
R90080    	0
ER00018   	1.820874e-03
R00127    	1.113174e-02
ER00019   	1.457345e-24
ER00016   	7.232244e-03
ER00017   	2.334419e-02
R90072    	3.892940e-01
R90073    	-8.308253e-27
R90070    	-2.661011e-01
R90071    	-3.686543e-01
R00130    	5.020904e-07
R90076    	0
R90077    	0
R90074    	-7.328103e-02
R00734    	1.085139e-03
R90075    	0
R02272    	2.724961e-06
R90078    	0
R90079    	0
R00927    	1.148110e-02
ER00000   	0
ER00001   	1.845466e-04
R00926    	0
ER00002   	2.486130e-03
R00924    	0
ER00003   	0
R02082    	1.389473e-03
ER00004   	0
R02003    	3.473002e-04
R02085    	-1.551531e-02
ER00005   	1.984658e-03
ER00006   	1.655555e-02
R05145    	0
ER00007   	2.770019e-03
R00138    	0
ER00008   	2.023428e-03
ER00009   	2.591861e-03
R00137    	0
R02088    	0
R05149    	0
R02984    	0
R00722    	0
R02285    	0
R02288    	0
R01001    	0
R02094    	9.646585e-06
R02014    	-9.646585e-06
R02093    	9.646585e-06
R02091    	0
R02098    	-9.646585e-06
R00149    	1.750264e-03
R02097    	0
R02096    	0
R04800    	0
R04292    	5.634485e-07
R02099    	0
R00710    	6.312005e-03
R90098    	0
R90099    	0
R00711    	0
R90097    	0
R00713    	0
R90094    	0
R90095    	0
R90092    	2.132575e-04
R00150    	0
R02297    	0
R90093    	0
R00714    	0
R02291    	2.117591e-04
R02292    	0
R00716    	2.115280e-03
R01737    	2.541179e-03
R01731    	0
R01734    	-1.248458e-07
R01736    	0
R00489    	5.020904e-07
R02487    	2.115280e-03
R01728    	1.562493e-03
R02485    	0
R00885    	0
R00481    	5.634485e-07
R00480    	2.117591e-04
R01724    	1.248458e-07
R05048    	0
R00479    	-2.445240e-23
R05046    	0
R00891    	0
