id	flux
R00396    	-9.999528e+03
R03869    	0
R00782    	0
R02742    	0
R02340    	5.102804e-04
R00789    	0
R00376    	0
R00377    	0
R00378    	0
R05815    	2.988250e-07
R05814    	2.988250e-07
R00375    	0
R05811    	2.988250e-07
R05810    	2.988250e-07
R05813    	2.988250e-07
R05812    	2.988250e-07
R00751    	1.510783e-02
R02372    	0
R05617    	1.628208e-07
R01899    	0
R05612    	1.628208e-07
R05613    	1.628208e-07
R00369    	0
R05611    	1.628208e-07
R00362    	-1.542470e-02
R02765    	-3.588607e-02
R00762    	6.375297e-03
R05809    	2.988250e-07
R05808    	2.988250e-07
R00768    	5.525442e-05
R05807    	2.988250e-07
R00771    	-6.320043e-03
R00354    	0
R00355    	9.999575e+03
R02771    	0
R00357    	0
R02914    	0
R01880    	0
R02918    	0
R01676    	0
R01876    	2.542549e-26
R01878    	0
R03084    	5.104433e-04
R00086    	3.292235e+00
R00084    	8.152927e-07
R01870    	-2.093846e-03
R01665    	0
R01664    	0
R01867    	2.093846e-03
R01863    	7.678488e-27
R02100    	0
R02331    	0
R02332    	0
R02719    	0
R01655    	5.629029e-03
R01658    	8.312817e-04
R01857    	4.532592e-26
R01858    	0
R02328    	0
R01859    	3.588607e-02
R02327    	0
R02329    	0
R00999    	0
R02519    	6.337250e-03
R02326    	3.534556e-25
R02325    	0
R00996    	0
R10005    	0
R10004    	0
R10003    	1.628208e-07
R02530    	0
R02531    	0
R01648    	0
R02722    	0
R02521    	6.337250e-03
R02313    	5.063035e-03
R04509    	0
R00303    	6.192958e-03
R03045    	0
R03038    	0
R00586    	3.201635e-04
R03243    	1.319011e-03
R00585    	0
R03245    	3.325778e-03
R01168    	0
R06447    	0
R00582    	0
R03035    	1.201780e-06
R03027    	-5.063035e-03
R00578    	9.858801e-04
R00575    	0
R01175    	0
R03665    	0
R01177    	0
R01171    	6.391371e-19
R03067    	0
R00570    	-3.567358e-25
R00571    	1.423816e-03
R00573    	0
R01698    	7.195487e-02
R00566    	0
R00568    	0
R03260    	0
R03696    	0
R04798    	0
R04799    	0
R06613    	2.308962e-05
R02568    	0
R03815    	0
R00552    	0
R02571    	-5.063035e-03
R01196    	1.266996e-01
R01197    	-3.151054e-01
R01199    	6.130976e-03
R06411    	0
R02577    	0
R06412    	0
R00344    	0
R00549    	6.027627e-07
R00351    	2.780413e-01
R00548    	0
R03823    	0
R03269    	1.201780e-06
R00332    	1.425016e-03
R03425    	0
R00342    	3.636302e-01
R00533    	0
R03026    	0
R03661    	0
R03662    	0
R03663    	0
R03664    	0
R03457    	1.319011e-03
R03458    	9.015877e-07
R03459    	9.015877e-07
R03660    	0
R03659    	0
R03658    	0
R00529    	3.201635e-04
R03460    	5.104433e-04
R03655    	0
R03654    	0
R03657    	0
R03656    	0
R00330    	3.475171e-03
R03018    	1.201780e-06
R03013    	1.319011e-03
R03012    	1.319011e-03
R00316    	0
R03651    	0
R00516    	0
R03647    	0
R00517    	0
R03646    	0
R00511    	0
R03858    	0
R04520    	4.155594e-04
R03857    	0
R00512    	0
R03005    	1.348646e-06
R00513    	0
R04463    	2.155861e-03
R04859    	3.201635e-04
R03346    	0
R03348    	1.348646e-06
R04457    	1.803175e-06
R00908    	0
R00502    	0
R01220    	5.629029e-03
R01221    	-1.084389e-02
R00509    	3.201635e-04
R01214    	2.275672e-03
R01230    	1.424718e-03
R01231    	0
R01229    	0
R01228    	-3.224965e-25
R01227    	0
R01226    	1.201780e-06
R00104    	6.359781e-07
R03102    	5.063035e-03
R01446    	0
R90000    	9.656089e-01
R01253    	-8.040678e-03
R90003    	3.174696e+00
R90004    	4.479359e-01
R90001    	1.836468e+00
R90002    	9.182341e-01
R90005    	0
R04224    	2.274470e-03
R04225    	2.748062e-02
R04233    	0
R04231    	0
R03314    	-8.040678e-03
R04230    	1.201780e-06
R90021    	0
R90022    	0
R90020    	0
R05341    	0
R01466    	0
R01465    	2.988250e-07
R90029    	0
R90027    	0
R90028    	0
R90025    	0
R90026    	0
R90023    	0
R90024    	0
R04095    	3.713674e-02
R04203    	2.748062e-02
R04097    	3.713674e-02
R01286    	0
R90010    	0
R01288    	0
R01287    	0
R90011    	0
R90016    	0
R90017    	0
R90018    	0
R01280    	0
R90019    	0
R04204    	2.748062e-02
R90012    	0
R90013    	0
R90014    	0
R04209    	-2.155861e-03
R04208    	2.155861e-03
R90015    	0
R04212    	0
R01279    	0
R02022    	-4.906605e-05
R00158    	2.093846e-03
R02023    	0
R00156    	2.197842e-03
R02024    	0
R02971    	0
R00985    	5.102804e-04
R02020    	-4.906605e-05
R02021    	3.201635e-04
R00986    	0
R01015    	7.302649e-03
R90046    	5.950686e-03
R00705    	0
R90045    	3.962660e-02
R90048    	4.750386e-03
R00704    	0
R00703    	0
R90047    	1.731076e-02
R90049    	8.325095e-03
R00708    	0
R05595    	0
R00707    	0
R00161    	6.027627e-07
R02019    	0
R90040    	6.203758e-03
R00160    	0
R90042    	0
R00702    	0
R02016    	7.846383e-04
R90041    	4.843185e-03
R02018    	2.308962e-05
R90044    	2.053921e-02
R02017    	0
R90043    	2.883138e-02
R00970    	0
R90037    	0
R90036    	2.283195e-02
R90035    	5.587558e-02
R01010    	4.155594e-04
R90039    	-5.586831e-26
R90038    	-8.769288e-27
R90033    	6.630189e-03
R90032    	3.066914e-03
R00177    	3.586356e-06
R90031    	0
R90030    	0
R00965    	2.093846e-03
R00966    	0
R00963    	2.542549e-26
R00964    	0
R00962    	0
R05180    	0
R05181    	0
R00969    	0
R01036    	0
R01039    	-1.000000e+04
R00967    	0
R00968    	0
R90068    	0
R90067    	0
R05578    	6.522341e-06
R05577    	0
R90069    	2.095504e-03
R90064    	4.155594e-04
R00188    	3.201635e-04
R90063    	-7.302281e-02
R90066    	4.957510e-02
R90065    	0
R90060    	4.229232e-01
R00183    	0
R90062    	0
R90061    	0
R05177    	0
R01818    	0
R00189    	1.348646e-06
R02058    	5.525442e-05
R00959    	-1.270849e-04
R01034    	10000
R00190    	5.275661e-25
R90059    	2.988250e-07
R90058    	0
R90057    	1.785122e-06
R90056    	3.098317e-06
R90055    	4.417222e-04
R90054    	4.358359e-03
R00199    	0
R90053    	0
R90052    	0
R90050    	5.164676e-07
R00192    	3.586356e-06
ER00023   	3.066914e-03
R04030    	1.628208e-07
ER00024   	-6.369272e-01
R02061    	8.312817e-04
ER00025   	-9.997252e+03
R00945    	-5.189534e-03
ER00020   	0
ER00021   	2.883138e-02
ER00022   	5.164676e-07
R04037    	1.319011e-03
R04035    	1.319011e-03
ER00027   	-8.823938e-01
R02063    	0
R02257    	0
ER00028   	9.317961e-01
R00943    	2.704763e-06
R02065    	0
R04031    	-1.628208e-07
R90091    	0
R90081    	0
R90082    	0
R00742    	0
R90083    	0
R90084    	0
R90085    	0
R00121    	-1.600817e-04
R90086    	0
R90087    	0
R90088    	0
R90089    	0
R05553    	0
R05555    	0
ER00014   	0
R00935    	2.274470e-03
ER00015   	1.022492e-02
ER00012   	0
R05150    	0
ER00013   	2.283195e-02
ER00010   	8.325095e-03
R00939    	3.098317e-06
ER00011   	2.053921e-02
R00124    	-10000
R90080    	0
ER00018   	4.358359e-03
R00127    	2.664441e-02
ER00019   	0
ER00016   	1.731076e-02
ER00017   	5.587558e-02
R90072    	9.317961e-01
R90073    	0
R90070    	-6.369272e-01
R90071    	-8.823938e-01
R00130    	1.201780e-06
R90076    	0
R90077    	0
R90074    	-1.754021e-01
R00734    	2.597339e-03
R90075    	0
R02272    	6.522341e-06
R90078    	0
R90079    	0
R00927    	2.748062e-02
ER00000   	0
ER00001   	4.417222e-04
R00926    	0
ER00002   	5.950686e-03
R00924    	0
ER00003   	0
R02082    	3.325778e-03
ER00004   	0
R02003    	8.312817e-04
R02085    	-3.713674e-02
ER00005   	4.750386e-03
ER00006   	3.962660e-02
R05145    	0
ER00007   	6.630189e-03
R00138    	0
ER00008   	4.843185e-03
ER00009   	6.203758e-03
R00137    	0
R02088    	0
R05149    	0
R02984    	0
R00722    	0
R02285    	0
R02288    	0
R01001    	0
R02094    	2.308962e-05
R02014    	-2.308962e-05
R02093    	2.308962e-05
R02091    	0
R02098    	-2.308962e-05
R00149    	4.189350e-03
R02097    	0
R02096    	0
R04800    	0
R04292    	1.348646e-06
R02099    	0
R00710    	0
R90098    	0
R90099    	0
R00711    	1.510812e-02
R90097    	0
R00713    	0
R90094    	0
R90095    	0
R90092    	5.104433e-04
R00150    	0
R02297    	0
R90093    	0
R00714    	0
R02291    	5.068569e-04
R02292    	0
R00716    	5.063035e-03
R01737    	6.082450e-03
R01731    	0
R01734    	-2.988250e-07
R01736    	0
R00489    	1.201780e-06
R02487    	5.063035e-03
R01728    	3.739911e-03
R02485    	0
R00885    	0
R00481    	1.348646e-06
R00480    	5.068569e-04
R01724    	2.988250e-07
R05048    	0
R00479    	0
R05046    	0
R00891    	0
R01090    	3.713674e-02
R02472    	-1.201780e-06
R00897    	0
R00896    	0
R02473    	1.201780e-06
R01752    	0
R03990    	0
R03991    	0
R03194    	8.152927e-07
R02864    	5.164676e-07
R02872    	0
R07280    	9.015877e-07
R07281    	1.803175e-06
R01073    	5.102804e-04
R01072    	2.155861e-03
R01776    	-3.586356e-06
