id	name	reaction_using_names	reaction_using_ids	Reversibility	enzyme(s)	orfs	nrc-1_genes	type	references
R90079	Diffusion: (Cl-)	Cl- => Cl- (E)	C00698 => CE00698	0				Membrane Transport	
R00344	Pyruvate:carbon-dioxide ligase (ADP-forming)	ATP + Pyruvate + HCO3- + H+ => ADP + Orthophosphate + Oxaloacetate	C00002 + C00022 + C00288 + C00080 => C00008 + C00009 + C00036	0	6.4.1.1	OE3177F	VNG1532G	Reaction	PMID:8157586 PMID:9827332
R90124	Symport: (L-Citrulline:H+)	L-Citrulline (E) + H+ (pmf associated) => L-Citrulline + H+	CE00327 + C90000 => C00327 + C00080	0				Membrane Transport	PMID:5903088
R00511	Cytidine-5'-monophosphate phosphohydrolase	CMP + H2O => Cytidine + Orthophosphate	C00055 + C00001 => C00475 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R04144	5-Phospho-D-ribosylamine:glycine ligase (ADP-forming)	ATP + 5-Phosphoribosylamine + Glycine => ADP + Orthophosphate + 5'-Phosphoribosylglycinamide	C00002 + C03090 + C00037 => C00008 + C00009 + C03838	0	6.3.4.13	OE2864F	VNG1305G	Reaction	
R00160	FAD nucleotidohydrolase	FAD + H2O => AMP + FMN	C00016 + C00001 => C00020 + C00061	0	3.6.1.9 3.6.1.18			Reaction	
R90026	ABC-T Glycine	Glycine (E) + ATP + H2O => Glycine + ADP + Orthophosphate + H+	CE00037 + C00002 + C00001 => C00037 + C00008 + C00009 + C00080	0				Membrane Transport	
R01056	D-Ribose-5-phosphate ketol-isomerase	D-Ribose 5-phosphate <=> D-Ribulose 5-phosphate	C00117 <=> C00199	1	5.3.1.6	OE4185F	VNG2272G	Reaction	
R00066	"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl) lumazine 2,3-butanediyltransferase"	"6,7-Dimethyl-8-(1-D-ribityl)lumazine => Riboflavin + 4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine"	C04332 => C00255 + C04732	0	2.5.1.9	OE1946R OE4683F	VNG0630G VNG2624G	Reaction	
R01001	L-Cystathionine Lysteine-lyase (deaminating)	L-Cystathionine + H2O => L-Cysteine + NH3 + 2-Oxobutanoate	C02291 + C00001 => C00097 + C00014 + C00109	0	4.4.1.1	OE2173F OE2681F	VNG0796G VNG1172G	Reaction	
R05046	"Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase"	"Formamidopyrimidine nucleoside triphosphate + H2O => 2,5-Diaminopyrimidine nucleoside triphosphate + Formate"	C05922 + C00001 => C05923 + C00058	0	3.5.4.16			Reaction	PMID:17032654
R04639	"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate 7,8-8,9-dihydrolase"	"2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)- <=> 2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) + H2O"	C06148 <=> C04895 + C00001	1	3.5.4.16			Reaction	PMID:17032654
R90075	ABC-T: (D-Ribose)	D-Ribose (E) + ATP + H2O => D-Ribose + ADP + Orthophosphate + H+	CE00121 + C00002 + C00001 => C00121 + C00008 + C00009 + C00080	0		OE2314R OE2315R OE2316R	VNG0897G VNG0898G VNG0901G	Membrane Transport	
R00999	O-Succinyl-L-homoserine succinate-lyase (adding cysteine)	O-Succinyl-L-homoserine + H2O => 2-Oxobutanoate + Succinate + NH3	C01118 + C00001 => C00109 + C00042 + C00014	0	2.5.1.48	OE2173F OE2681F	VNG0796G VNG1172G	Reaction	
R01900	Isocitrate hydro-lyase	Isocitrate <=> cis-Aconitate + H2O	C00311 <=> C00417 + C00001	1	4.2.1.3	OE4613F	VNG2574G	Reaction	PMID:5780095 PMID:9827332
R90005	Bacteriorhodopsin	H+ + Photon => H+ (pmf associated)	C00080 + C90001 => C90000	0		OE3106F	VNG1467G	Membrane Transport	PMID:9729742
R04148	Nicotinate-nucleotide:dimethylbenzimidazole phospho-D-ribosyltransferase	"Nicotinate D-ribonucleotide + Dimethylbenzimidazole => Nicotinate + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole"	C01185 + C03114 => C00253 + C04778	0	2.4.2.21	OE3242F	VNG1572C	Reaction	
R90061	Excretion: (L-Ornithine)	L-Ornithine => L-Ornithine (E)	C00077 => CE00077	0				Membrane Transport	
R90080	Symport: (Adenosine:H+)	Adenosine (E) + H+ (pmf associated) => Adenosine + H+	CE00212 + C90000 => C00212 + C00080	0		OE3950R	VNG2116C	Membrane Transport	PMID:9457844
R02091	dGTP:cytidine 5'-phosphotransferase	dGTP + Cytidine => dGDP + CMP	C00286 + C00475 => C00361 + C00055	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R02571		Glutaryl-CoA + Dihydrolipoamide <=> CoA + S-Glutaryldihydrolipoamide	C00527 + C00579 <=> C00010 + C06157	1	2.3.1.61			Reaction	PMID:3700337
R03661	L-Proline:tRNA(Pro) ligase (AMP-forming)	ATP + L-Proline + tRNA(Pro) <=> AMP + Pyrophosphate + L-Prolyl-tRNA(Pro)	C00002 + C00148 + C01649 <=> C00020 + C00013 + C02702	1	6.1.1.15	OE1595F	VNG0403G	Reaction	
R03503	"ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 6'-pyrophosphotransferase"	"ATP + 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine => AMP + 2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine"	C00002 + C01300 => C00020 + C04807	0	2.7.6.3			Reaction	
R01177	Acetyl-CoA:acetyl-CoA C-acetyltransferase	Acetyl-CoA + Butanoyl-CoA <=> CoA + 3-Oxohexanoyl-CoA	C00024 + C00136 <=> C00010 + C05269	1	2.3.1.9 2.3.1.16	OE3884F	VNG2063G	Reaction	
R02473	(R)-Pantoate:beta-alanine ligase (AMP-forming)	ATP + (R)-Pantoate + beta-Alanine => AMP + Pyrophosphate + Pantothenate	C00002 + C00522 + C00099 => C00020 + C00013 + C00864	0	6.3.2.1			Reaction	
R00573	UTP:ammonia ligase(ADP-forming)	ATP + UTP + L-Glutamine + H2O => ADP + Orthophosphate + CTP + L-Glutamate	C00002 + C00075 + C00064 + C00001 => C00008 + C00009 + C00063 + C00025	0	6.3.4.2	OE3572R	VNG1830G	Reaction	
R00858	Hydrogen-sulfide:NADP+ oxidoreductase	Sulfite + NADPH => Hydrogen sulfide + NADP+ + H2O	C00094 + C00005 => C00283 + C00006 + C00001	0	1.8.1.2			Reaction	
R05809		Cobalt-precorrin 3 + S-Adenosyl-L-methionine => Cobalt-precorrin 4 + S-Adenosyl-L-homocysteine	C11539 + C00019 => C11540 + C00021	0	2.1.1.131	OE3214F OE3216F	VNG1555G VNG1557G	Reaction	
R01137	ATP:nucleoside-diphosphate phosphatransferase	ATP + dADP <=> ADP + dATP	C00002 + C00206 <=> C00008 + C00131	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R04173	3-Phosphoserine:2-oxoglutarate aminotransferase	O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate	C01005 + C00026 <=> C03232 + C00025	1	2.6.1.52	OE4391F	VNG2418G	Reaction	
R90065	"Antiport: (Na+:H+, K+)"	H+ (pmf associated) + Sodium + Potassium (E) => H+ + Potassium + Sodium (E) [pmf]	C90000 + C01330 + CE00238 => C00080 + C00238 + C90004	0		OE2841R OE3422R OE4599F OE5301F	VNG1284G VNG1721G VNG2565G -	Membrane Transport	
R02325	dCTP aminohydrolase	dCTP + H2O => dUTP + NH3	C00458 + C00001 => C00460 + C00014	0	3.5.4.13	OE1384F	VNG0245G	Reaction	
R90111	Efflux: (Zinc)	Zinc => Zinc (E)	C00038 => CE00038	0		OE3619R	VNG1862G	Membrane Transport	
R03457	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + H2O	C04666 <=> C01267 + C00001	1	4.2.1.19	OE4220F	VNG2295G	Reaction	PMID:3700337
R00377	Deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)	dCTP => Pyrophosphate + dCMP	C00458 => C00013 + C00239	0	2.7.7.7	OE4293R	VNG2338G	Reaction	
R90107	Symport: (Proline:Na+)	L-Proline (E) + Sodium (E) [pmf] => L-Proline + Sodium	CE00148 + C90004 => C00148 + C01330	0		OE2322F	VNG0908G	Membrane Transport	PMID:889797
R04560	10-Formyltetrahydrofolate:5'-phosphoribosyl-5-amino-4- imidazolecarboxamide formyltransferase	10-Formyltetrahydrofolate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide <=> Tetrahydrofolate + 1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	C00234 + C04677 <=> C00101 + C04734	1	2.1.2.3	OE1620R	VNG0414G	Reaction	
R04993		2-Demethylmenaquinone + S-Adenosyl-L-methionine => Menaquinol + S-Adenosyl-L-homocysteine	C05818 + C00019 => C05819 + C00021	0	2.1.1.-	OE3994F	VNG2147G	Reaction	
R02082	(R)-Mevalonate:NADP+ oxidoreductase (CoA acylating)	(S)-3-Hydroxy-3-methylglutaryl-CoA + NADPH <=> (R)-Mevalonate + CoA + NADP+	C00356 + C00005 <=> C00418 + C00010 + C00006	1	1.1.1.34	OE3637R	VNG1875G	Reaction	PMID:3700337
R05555	Farnesyl diphosphate:Isopentenyl diphosphate farnesyl transferase	"trans,trans-Farnesyl diphosphate + Isopentenyl diphosphate <=> trans,trans,cis-Geranylgeranyl diphosphate + Pyrophosphate"	C00448 + C00129 <=> C11356 + C00013	1	2.5.1.31 2.5.1.-	OE3503F OE3505R OE2559R OE2650F OE4010F	VNG1779C VNG1781C VNG1075G VNG1150G VNG2153G	Reaction	PMID:2857171
R00969	"P1,P4-Bis(5'-nucleosyl)-tetraphosphate nucleotidohydrolase"	"P1,P4-Bis(5'-uridyl) tetraphosphate + H2O => UTP + UMP"	C06198 + C00001 => C00075 + C00105	0	3.6.1.17	OE1648R	VNG0431G	Reaction	
R02063		Geranylgeranyl diphosphate + NADPH + H+ => Phytyl diphosphate + NADP+	C00353 + C00005 + C00080 => C05427 + C00006	0	-	OE1657R OE1699R OE2720R OE4702F	VNG0439C VNG0468C VNG1198C VNG2638G	Reaction	PMID:3700337
R01655	"5,10-Methenyltetrahydrofolate 5-hydrolase(decyclizing)"	"5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+"	C00445 + C00001 <=> C00234 + C00080	1	3.5.4.9 6.3.4.3	OE3038F	VNG1416G	Reaction	
R01106	Nitrite:(acceptor) oxidoreductase	Nitrate + Halocyanin (reduced) => Nitrite + Halocyanin (oxidized)	C00244 + C90015 => C00088 + C90014	0	1.7.99.4			Reaction	PMID:629538 PMID:4750772
R90037	Symport: (L-Glutamine:H+)	L-Glutamine (E) + H+ (pmf associated) => L-Glutamine + H+	CE00064 + C90000 => C00064 + C00080	0				Membrane Transport	PMID:889797
R90133	MJ0400 homolog reaction	6-Deoxy-5-ketomannitol-1-phosphate + L-Aspartate 4-semialdehyde => Compound I + D-Glyceraldehyde 3-phosphate	R90009 + C00441 => R90007 + C00118	0		OE1472F	VNG0309C	Reaction	PMID:15182204
R04212	Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)	L-Asparaginyl-tRNA(Asn) + L-Glutamate + Orthophosphate + ADP <=> L-Aspartyl-tRNA(Asn) + L-Glutamine + ATP	C03402 + C00025 + C00009 + C00008 <=> C06113 + C00064 + C00002	1	6.3.5.6	OE1522F OE2283F OE2284F	VNG0345G VNG0870G VNG0872G	Reaction	PMID:10993083
R02742	NADPH:bis-gamma-glutamylcystine oxidoreductase	gamma-L-Glutamyl-L-cysteine + NADP+ <=> Bis-gamma-glutamylcystine + NADPH	C00669 + C00006 <=> C03646 + C00005	1	1.8.1.13			Reaction	PMID:3136140 PMID:2910862
R03245	ATP:(R)-5-phosphomevalonate phosphotransferase	ATP + (R)-5-Phosphomevalonate => ADP + (R)-5-Diphosphomevalonate	C00002 + C01107 => C00008 + C01143	0	2.7.4.2	OE2647F	VNG1148G	Reaction	PMID:3700337
R01954	L-Citrulline:L-aspartate ligase (AMP-forming)	ATP + L-Citrulline + L-Aspartate => AMP + Pyrophosphate + N-(L-Arginino)succinate	C00002 + C00327 + C00049 => C00020 + C00013 + C03406	0	6.3.4.5	OE4420R	VNG2437G	Reaction	
R01724	Nicotinate D-ribonucleotide:pyrophosphate phosphoribosyltransferase	Nicotinate + 5-Phospho-alpha-D-ribose 1-diphosphate => Nicotinate D-ribonucleotide + Pyrophosphate	C00253 + C00119 => C01185 + C00013	0	2.4.2.11	OE4565F	VNG2541C	Reaction	
R05225		"Adenosyl cobyrinate a,c diamide + L-Glutamine + ATP + H2O => Adenosyl cobyrinate hexaamide + L-Glutamate + Orthophosphate + ADP"	C06506 + C00064 + C00002 + C00001 => C06507 + C00025 + C00009 + C00008	0	6.3.5.10	OE3246F	VNG1576G	Reaction	PMID:14645280
R00262	L-threo-3-Methylaspartate carboxy-aminomethylmutase	L-threo-3-Methylaspartate <=> L-Glutamate	C03618 <=> C00025	1	5.4.99.1	OE4204F OE4206F	VNG2286G VNG2288G	Reaction	
R04748	(S)-Hydroxyhexanoyl-CoA:NAD+ oxidoreductase	(S)-Hydroxyhexanoyl-CoA + NAD+ <=> 3-Oxohexanoyl-CoA + NADH	C05268 + C00003 <=> C05269 + C00004	1	1.1.1.35	OE2015R	VNG0681G	Reaction	
R03665	L-Valine:tRNAVal ligase (AMP-forming)	ATP + L-Valine + tRNA(Val) <=> AMP + Pyrophosphate + L-Valyl-tRNA(Val)	C00002 + C00183 + C01653 <=> C00020 + C00013 + C02554	1	6.1.1.9	OE4572R	VNG2547G	Reaction	
R00217	Oxaloacetate carboxy-lyase	Oxaloacetate => Pyruvate + CO2	C00036 => C00022 + C00011	0	1.1.1.40	OE3308F	VNG1624G	Reaction	
R02017	2'-Deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase	Thioredoxin + ADP => dADP + Oxidized thioredoxin + H2O	C00342 + C00008 => C00206 + C00343 + C00001	0	1.17.4.1	OE3328R OE4345R OE4346R	VNG1644G VNG2383G VNG2384G	Reaction	PMID:8990160
R01214	L-Valine:2-oxoglutarate aminotransferase	L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoate + L-Glutamate	C00183 + C00026 <=> C00141 + C00025	1	2.6.1.42 2.6.1.6	OE3959R	VNG2122G	Reaction	
R90128	"Ribose 1,5-bisP Dehydrogenase"	"D-Ribose 1,5-bisphosphate + NAD+ <=> D-Ribulose 1,5-bisphosphate + NADH"	C01151 + C00003 <=> C01182 + C00004	1		OE4651F	VNG2604G	Reaction	PMID:15375115
R03346	Nicotinate D-ribonucleotide phosphohydrolase	Nicotinate D-ribonucleotide + H2O => Nicotinate D-ribonucleoside + Orthophosphate	C01185 + C00001 => C05841 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R90044	Symport: (L-Serine:H+)	L-Serine (E) + H+ (pmf associated) <=> L-Serine + H+	CE00065 + C90000 <=> C00065 + C00080	1				Membrane Transport	PMID:35540 PMID:889797
R90084	Symport: (Deoxyadenosine:H+)	Deoxyadenosine (E) + H+ (pmf associated) => Deoxyadenosine + H+	CE00559 + C90000 => C00559 + C00080	0				Membrane Transport	
R00673	L-Tryotophan indole-lyase (deaminating)	L-Tryptophan + H2O => Indole + Pyruvate + NH3	C00078 + C00001 => C00463 + C00022 + C00014	0	4.1.99.1	OE4331R	VNG2373G	Reaction	
R02661	"2-Methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase"	2-Methylpropanoyl-CoA + FAD <=> 2-Methylprop-2-enoyl-CoA + FADH2	C00630 + C00016 <=> C03460 + C01352	1	1.3.99.3	OE2710F OE1555F OE2013R OE2138F OE3123R OE4500R	VNG1191G VNG0371G VNG0679G VNG0775G VNG1482G VNG2499G	Reaction	
R10003		Geranylgeranyl diphosphate + Isopentenyl diphosphate => all-trans-Pentaprenyl diphosphate + Pyrophosphate	C00353 + C00129 => C04217 + C00013	0	2.5.1.-	OE2559R OE2650F OE3503F OE3505R OE4010F	VNG1075G VNG1150G VNG1779C VNG1781C VNG2153G	Reaction	PMID:2857171
R90048	Symport: (L-Valine:H+)	L-Valine (E) + H+ (pmf associated) <=> L-Valine + H+	CE00183 + C90000 <=> C00183 + C00080	1				Membrane Transport	PMID:889797
R03194	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	S-Adenosyl-L-methionine + Uroporphyrinogen III => S-Adenosyl-L-homocysteine + Precorrin 2	C00019 + C01051 => C00021 + C02463	0	2.1.1.107	OE4277F	VNG2331G	Reaction	
R90103	ABC-T: (Vit B12)	Vitamin B12 (E) + ATP + H2O => Vitamin B12 + ADP + Orthophosphate + H+	CE05776 + C00002 + C00001 => C05776 + C00008 + C00009 + C00080	0		OE1480F	VNG0316C	Membrane Transport	
R01664	2'-Deoxycytidine 5'-monophosphate phosphohydrolase	dCMP + H2O => Deoxycytidine + Orthophosphate	C00239 + C00001 => C00881 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R00548	Riboflavin-5-phosphate phosphohydrolase (acid optimum)	FMN + H2O => Riboflavin + Orthophosphate	C00061 + C00001 => C00255 + C00009	0	3.1.3.2	OE2782F	VNG1241G	Reaction	
